"Abbreviation"	"Reaction"	"Description"
"R12694"	"C03227[c] + C00048[c] <=> C05645[c] + C00037[c]"	"X"
"R04325"	"C00234[c] + C03838[c] <=> C00101[c] + C04376[c]"	"10-formyltetrahydrofolate:5'-phosphoribosylglycinamide formyltransferase"
"R07783"	"C03925[c] <=> C16247[c]"	"X"
"R04031"	"C02730[c] + C00001[c] <=> C05817[c]"	"(1R,6R)-6-hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate hydrolyase (2-succinylbenzoate-forming)"
"R04046"	"C02778[c] + C00003[c] + C00001[c] <=> C03954[c] + C00004[c] + C00080[c]"	"NADH:N-hydroxy-2-acetamidofluorene N-oxidoreductase"
"R09999"	"C00543[c] + C03576[c] <=> C03920[c] + C00218[c]"	"dimethylamine:coenzyme M methyltransferase"
"R09527"	"C00024[c] + C00083[c] <=> C00332[c] + C00010[c] + C00011[c]"	"acetyl-CoA:malonyl-CoA C-acetyltransferase (decarboxylating)"
"R05668"	"C00002[c] + C00003[c] <=> C07024[c] + C00004[c] + C00080[c]"	"X"
"R08702"	"C17323[c] + C00007[c] + C00001[c] <=> C11478[c] + C00048[c] + C00027[c]"	"tRNA containing 5-carboxymethylaminomethyl-2-thiouridine:oxygen oxidoreductase"
"R03373"	"C22038[c] + C00003[c] <=> C04045[c] + C00004[c] + C00080[c]"	"4-hydroxyphenyllactate:NAD+ oxidoreductase"
"R00216"	"C00149[c] + C00006[c] <=> C00022[c] + C00011[c] + C00005[c] + C00080[c]"	"(S)-malate:NADP+ oxidoreductase(oxaloacetate-decarboxylating)"
"R12436"	"C00078[c] + C00135[c] <=> C22162[c]"	"X"
"R05715"	"2 C06717[c] + C00003[c] <=> C11502[c] + C00004[c] + C00080[c]"	"mycothiol:NAD+ oxidoreductase"
"R07689"	"C16206[c] <=> C16207[c] + 2 C00080[c]"	"X"
"R09248"	"C00448[c] + 5 C00129[c] <=> C04146[c] + 5 C00013[c]"	"(2E,6E)-farnesyl-diphosphate:isopentenyl-diphosphate farnesyltranstransferase (adding 5 isopentenyl units)"
"R11821"	"C21658[c] <=> C00353[c] + C00001[c]"	"geranylgeranyl-diphosphate hydratase (peregrinol-diphosphate-forming);"
"R00615"	"C00068[c] + C00001[c] <=> C01081[c] + C00009[c]"	"thiamin diphosphate phosphohydrolase"
"R09578"	"C00079[c] + 2 C00007[c] + 2 C03024[c] <=> C19714[c] + 2 C03161[c] + C00011[c] + 3 C00001[c]"	"L-phenylalanine,NADPH:oxygen oxidoreductase (N-hydroxylating)"
"R00739"	"C00082[c] <=> C04368[c]"	"L-tyrosine 2,3-aminomutase"
"R08911"	"C17586[c] <=> C17585[c]"	"X"
"R08295"	"C16561[c] + C00001[c] <=> C11004[c] + C11735[c]"	"monoethylglycinexylidide amidohydrolase"
"R03255"	"C03847[c] + C00001[c] <=> C00069[c] + C01113[c]"	"6-phospho-beta-D-galactoside 6-phosphogalactohydrolase"
"R00651"	"C01077[c] + C00409[c] <=> C00073[c] + C00033[c]"	"O-acetyl-L-homoserine:methanethiol 3-amino-3-carboxypropyltransferase;"
"R00964"	"C00002[c] + C00299[c] <=> C00008[c] + C00105[c]"	"ATP:uridine 5'-phosphotransferase"
"R02163"	"C00390[c] + C00003[c] <=> C00399[c] + C00004[c] + C00080[c]"	"NADH:ubiquinone oxidoreductase"
"R08195"	"C00820[c] <=> C00037[c] + C00084[c]"	"D-threonine acetaldehyde-lyase (glycine-forming)"
"R03363"	"C04549[c] + C00001[c] <=> C01194[c] + C00009[c]"	"1-phosphatidyl-1D-myo-inositol 3-phosphate 3-phosphohydrolase"
"R09845"	"C20120[c] + C00001[c] <=> C04506[c] + C00012[c]"	"CAAX protease"
"R04954"	"C05747[c] <=> C05748[c] + C00001[c]"	"(3R)-3-hydroxyhexanoyl-[acyl-carrier-protein] hydro-lyase"
"R11073"	"C04874[c] <=> C21008[c]"	"7,8-dihydroneopterin 2'-epimerase"
"R11639"	"C20312[c] <=> C21525[c] + C00001[c]"	"X"
"R03247"	"C01424[c] <=> C01108[c] + C00011[c]"	"gallate carboxy-lyase"
"R04928"	"C00002[c] + C05686[c] <=> C00008[c] + C05696[c]"	"ATP:adenylylsulfate 3'-phosphotransferase"
"R04967"	"C05761[c] + C00006[c] <=> C05760[c] + C00005[c] + C00080[c]"	"tetradecanoyl-[acp]:NADP+ trans-2-oxidoreductase"
"R06016"	"G10613[c] + G00015[c] <=> G10619[c] + G00179[c]"	"X"
"R02047"	"C01188[c] + C00003[c] <=> C00349[c] + C00004[c] + C00080[c]"	"3-hydroxy-2-methylpropanoate:NAD+ oxidoreductase"
"R02247"	"C00418[c] + C00006[c] <=> C00772[c] + C00005[c] + C00080[c]"	"(R)-mevalonate:NADP+ oxidoreductase"
"R00947"	"C00103[c] + C00001[c] <=> C00267[c] + C00009[c]"	"alpha-D-glucose-1-phosphate phosphohydrolase"
"R01957"	"C00328[c] + C00048[c] <=> C01252[c] + C00037[c]"	"L-kynurenine:glyoxylote aminotransferase (cyclizing)"
"R09896"	"C00448[c] + C00001[c] <=> C20181[c] + C00013[c]"	"(2E,6E)-farnesyl-diphosphate diphosphate-lyase (cyclizing, avermitilol-forming)"
"R08979"	"C18066[c] + C00001[c] <=> C18067[c]"	"7-isopropyl-4-methyloxepan-2-one lactonohydrolase"
"R09577"	"C19711[c] + C03024[c] + C00007[c] <=> C09737[c] + C03161[c] + 2 C00001[c]"	"solavetivol,[reduced NADPH---hemoprotein reductase]:oxygen 2alpha-oxidoreductase"
"R07933"	"C16162[c] + 2 C00999[c] + C00007[c] + 2 C00080[c] <=> C16163[c] + 2 C00996[c] + 2 C00001[c]"	"alpha-linolenoyl-CoA,ferrocytochrome b5:oxygen oxidoreductase (6,7 cis-dehydrogenating)"
"R09680"	"C19809[c] + C00001[c] <=> C00408[c] + C00014[c]"	"(S)-piperidine-2-carboxamide amidohydrolase"
"R01349"	"C00019[c] + C00162[c] <=> C00021[c] + C03395[c]"	"S-adenosyl-L-methionine:fatty-acid O-methyltransferase"
"R01088"	"C00123[c] + C00001[c] + C00003[c] <=> C00233[c] + C00014[c] + C00004[c] + C00080[c]"	"L-leucine:NAD+ oxidoreductase (deaminating)"
"R08993"	"C00353[c] + C00001[c] <=> C09094[c] + C00013[c]"	"geranyl-diphosphate diphosphohydrolase"
"R05825"	"C11632[c] + C00001[c] <=> C11633[c] + C00011[c] + C00132[c]"	"polyneuridine aldehyde hydrolase (decarboxylating)"
"R10758"	"C00989[c] + C00002[c] + C00010[c] <=> C11062[c] + C00008[c] + C00009[c]"	"4-hydroxybutanoate:CoA ligase (ADP-forming)"
"R10356"	"C20587[c] + C00005[c] + C00080[c] + C00007[c] <=> C20534[c] + C00006[c] + C00001[c] + C00058[c]"	"paspaline-B,NADPH:oxygen oxidoreductase"
"R12426"	"C02051[c] + C22158[c] <=> C22157[c] + C15972[c]"	"[glycine cleavage system H]-N6-lipoyl-L-lysine:[lipoyl-carrier protein]-L-lysine lipoyltransferase"
"R04146"	"C04018[c] + C00001[c] <=> C03106[c] + C00033[c]"	"N-acetyl-D-galactosaminoglycan acetylhydrolase"
"R00904"	"C05665[c] + C00003[c] + C00001[c] <=> C00099[c] + C00004[c] + C00080[c]"	"3-aminopropanal:NAD+ oxidoreductase"
"R03365"	"C01197[c] + C00007[c] <=> C04366[c]"	"3,4-dihydroxy-trans-cinnamate:oxygen 3,4-oxidoreductase (decyclizing)"
"R13249"	"C00065[c] <=> C18618[c]"	"X"
"R09936"	"C00106[c] + C01847[c] + C00007[c] <=> C20231[c] + C00061[c]"	"uracil,FMNH2:oxygen oxidoreductase (uracil hydroxylating, ring-opening)"
"R04145"	"C00019[c] + C03105[c] <=> C00021[c] + C04061[c]"	"S-adenosyl-L-methionine:cytochrome-c-L-lysine N6-methyltransferase"
"R01450"	"C00186[c] <=> C00256[c]"	"lactate racemase"
"R11426"	"C21379[c] + 2 C00006[c] <=> C21381[c] + 2 C00005[c] + C00080[c]"	"(2S)-flavan-3-ol:NADP+ oxidoreductase"
"R12692"	"C00328[c] + C00048[c] <=> C01717[c] + C00037[c] + C00001[c]"	"L-kynurenine:glyoxylate aminotransferase (cyclizing)"
"R01867"	"C00337[c] + C00122[c] <=> C00295[c] + C00042[c]"	"(S)-dihydroorotate:fumarate oxidoreductase"
"R02760"	"C00605[c] + C00681[c] <=> C00010[c] + C00416[c]"	"2,3-dehydroacyl-CoA:1-acyl-sn-glycerol-3-phosphate 2-O-acyltransferase"
"R11144"	"C17658[c] + C00003[c] <=> C03070[c] + C00004[c] + C00080[c]"	"isolithocholate:NAD+ 3-oxidoreductase"
"R08745"	"C05337[c] + C00245[c] <=> C05465[c] + C00010[c]"	"3alpha,7alpha-dihydroxy-5beta-cholanoyl-CoA:taurine N-choloyltransferase;"
"R06239"	"G10506[c] + C00001[c] <=> G02614[c] + G10506[c]"	"X"
"R10316"	"C19943[c] + 3 C00007[c] + 3 C03024[c] <=> C02283[c] + 3 C03161[c] + 4 C00001[c]"	"11-oxo-beta-amyrin,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (30-hydroxylating)"
"R08806"	"C00406[c] + C00083[c] <=> C17741[c] + C00010[c] + C00011[c]"	"feruloyl-CoA:malonyl-CoA C-feruloyltransferase (decarboxylating)"
"R08977"	"C00187[c] + C00053[c] <=> C18043[c] + C00054[c]"	"3'-phosphoadenylyl-sulfate:cholesterol sulfotransferase"
"R12430"	"C05752[c] + C00010[c] <=> C01944[c] + C00229[c]"	"octanoyl-[acp]:CoA S-octanoyltransferase"
"R01378"	"C00166[c] <=> C02763[c]"	"phenylpyruvate keto-enol-isomerase"
"R12501"	"C00954[c] + C00026[c] + C00007[c] <=> C22202[c] + C00042[c] + C00011[c]"	"X"
"R08612"	"C02492[c] + C00001[c] <=> C17207[c] + C02492[c]"	"4-beta-D-mannan mannanohydrolase"
"R11122"	"C21126[c] + C18092[c] <=> C21127[c] + C00363[c]"	"X"
"R09112"	"C18211[c] <=> C18221[c]"	"X"
"R06925"	"C14097[c] <=> C00805[c] + C00011[c]"	"X"
"R07849"	"C16279[c] + 2 C00028[c] <=> C16280[c] + 2 C00030[c]"	"thiothece-474:acceptor oxidoreductase/methyltranferase (chi-ring forming)"
"R12850"	"C10826[c] <=> C10827[c]"	"X"
"R10628"	"C11994[c] + 4 C00138[c] + 4 C00080[c] + 2 C00007[c] <=> C20741[c] + 4 C00139[c] + 2 C00001[c]"	"10-deoxymethymycin,reduced ferredoxin:oxygen oxidoreductase (novamethymycin-forming)"
"R02616"	"C00024[c] + C00602[c] <=> C00010[c] + C03773[c]"	"acyl-CoA:beta-D-galactoside 6-acetyltransferase"
"R12957"	"C00078[c] <=> C21601[c]"	"X"
"R02535"	"C03758[c] + 2 C00072[c] + C00007[c] <=> C00547[c] + 2 C01041[c] + C00001[c]"	"dopamine,ascorbate:oxygen oxidoreductase (beta-hydroxylating)"
"R08926"	"C01019[c] + C00003[c] <=> C18028[c] + C00004[c] + C00080[c]"	"L-fucose:NAD+ 1-oxidoreductase"
"R12761"	"C05412[c] <=> C00684[c] + C00001[c]"	"L-lyxonate hydro-lyase"
"R01302"	"C00156[c] + C00022[c] <=> C00251[c]"	"chorismate pyruvate-lyase (4-hydroxybenzoate-forming)"
"R07511"	"C15857[c] + 2 C15602[c] <=> C15858[c] + 2 C15603[c]"	"9,9'-dicis-zeta-carotene:quinone oxidoreductase"
"R08563"	"C16846[c] + C00005[c] + C00080[c] <=> C11379[c] + C00006[c]"	"cinchonidinone:NADPH oxidoreductase"
"R03080"	"C02912[c] + C00003[c] <=> C00937[c] + C00004[c] + C00080[c]"	"(R)-propane-1,2-diol:NAD+ oxidoreductase"
"R06619"	"C11864[c] <=> C00859[c]"	"X"
"R08943"	"C01953[c] + C00005[c] + C00080[c] + C00007[c] <=> C18038[c] + C00006[c] + C00001[c]"	"pregnenolone,NADPH:oxygen oxidoreductase (7alpha-hydroxylating)"
"R01028"	"C00919[c] + C00001[c] <=> C00114[c] + C00059[c]"	"choline sulfate sulfohydrolase"
"R00118"	"C00006[c] + C00001[c] <=> C00009[c] + C00003[c]"	"NADP+ 2'-phosphohydrolase"
"R05311"	"C01063[c] + C00003[c] <=> C06723[c] + C00004[c] + C00080[c]"	"pimeloyl-CoA:NAD+ oxidoreductase"
"R04120"	"C03023[c] + C00343[c] + C00001[c] <=> C03895[c] + C00342[c]"	"peptide-L-methionine:thioredoxin-disulfide S-oxidoreductase [L-methionine (S)-S-oxide-forming]"
"R02052"	"C00350[c] + C00001[c] <=> C00641[c] + C00346[c]"	"phosphatidylethanolamine ethanolaminephosphohydrolase"
"R07829"	"C16268[c] <=> C00877[c]"	"X"
"R12219"	"C21995[c] + C00001[c] <=> C21996[c] + C01187[c]"	"KDO2-lipid-A-1-(2-aminoethyl phosphate) hydrolase"
"R08283"	"C07645[c] + C00006[c] + C00001[c] <=> C07646[c] + C00005[c] + C00080[c]"	"carboxyphosphamide:NADP+ oxidoreductase"
"R03323"	"C01175[c] + C00149[c] <=> C00031[c] + C02887[c]"	"1-O-sinapoyl-beta-D-glucose:(S)-malate O-sinapoyltransferase"
"R01718"	"C00252[c] + C00001[c] <=> C00267[c] + C00031[c]"	"isomaltose 6-alpha-D-glucanohydrolase"
"R02007"	"C03190[c] <=> C00341[c]"	"(+)-bornyl-diphosphate lyase (decyclizing)"
"R07958"	"C13747[c] + C00005[c] + C00080[c] + C00007[c] <=> C16353[c] + C00006[c] + C00067[c] + C00001[c]"	"paraxanthine:oxygen oxidoreductase (N1-demethylating)"
"R11303"	"C21269[c] <=> C21270[c]"	"X"
"R11589"	"C21489[c] + C21453[c] <=> C21490[c] + C00011[c] + C21487[c]"	"octanoyl-CoA:2-aminobenzoylacetate octanoyltransferase"
"R04136"	"C03351[c] + C00006[c] <=> C03067[c] + C00005[c] + C00080[c]"	"3-hydroxybenzyl-alcohol:NADP+ oxidoreductase"
"R05782"	"C11529[c] + C00001[c] <=> C00151[c] + C00014[c] + C00011[c]"	"N-carbamoyl-L-amino acid amidohydrolase"
"R09686"	"C11901[c] + C00001[c] <=> C19817[c] + C00013[c]"	"(+)-copalyl-diphosphate diphosphate-lyase (phyllocladan-16alpha-ol-forming)"
"R01036"	"C00116[c] + C00003[c] <=> C00577[c] + C00004[c] + C00080[c]"	"glycerol:NAD+ oxidoreductase"
"R09857"	"C00029[c] + C20138[c] <=> C00015[c] + C20139[c]"	"UDP-glucose:N-demethylansamitocin-P-3 beta-D-glucosyltransferase"
"R08505"	"C00187[c] + C00007[c] + 2 C00080[c] + 2 C00662[c] <=> C15610[c] + C00001[c] + 2 C00667[c]"	"cholesterol 26-hydroxylase"
"R12316"	"G10558[c] + G10610[c] <=> G13127[c] + G10619[c]"	"X"
"R01135"	"C00044[c] + C00130[c] + C00049[c] <=> C00035[c] + C00009[c] + C03794[c]"	"IMP:L-aspartate ligase (GDP-forming)"
"R07041"	"C00219[c] + C03024[c] + C00007[c] <=> C14748[c] + C03161[c] + C00001[c]"	"arachidonic acid:oxygen 1-oxidoreductase"
"R08028"	"C09826[c] <=> C16418[c]"	"X"
"R05512"	"C00103[c] + C00201[c] + C11349[c] + C10905[c] <=> C06592[c] + C00009[c]"	"X"
"R01423"	"C06433[c] + C00001[c] <=> C00020[c] + C00180[c]"	"5'-benzoylphosphoadenosine benzoylhydrolase"
"R09409"	"C19586[c] + C00051[c] <=> C11278[c]"	"glutathione-S-transferase"
"R10571"	"C20528[c] <=> C20542[c]"	"X"
"R04707"	"C00019[c] + C05247[c] <=> C00021[c] + C05194[c] + C00080[c]"	"S-adenosyl-L-methionine:10-hydroxydihydrosanguinarine 10-O-methyltransferase"
"R08712"	"C00040[c] + C00729[c] <=> C00010[c] + C02089[c]"	"acyl-CoA:tropine O-acyltransferase"
"R06698"	"C12436[c] <=> C12437[c]"	"X"
"R12053"	"C21140[c] + C00004[c] + C00080[c] + C00007[c] <=> C21874[c] + C00003[c] + C00001[c]"	"aurachin-B,NADH:oxygen oxidoreductase (2',3'-epoxidizing)"
"R04980"	"C05800[c] + C00007[c] + C00005[c] <=> C05801[c] + C00006[c] + C00001[c]"	"X"
"R08950"	"2 C00235[c] <=> C00013[c] + C18052[c]"	"dimethylallyl-diphosphate:dimethylallyl-diphosphate dimethylallyltransferase (lavandulyl-diphosphate-forming)"
"R04567"	"C04688[c] + C00043[c] <=> C00229[c] + C04738[c]"	"(R)-3-hydroxytetradecanoly-[acyl-carrier-protein]:UDP-N-acetyl-glucosamine 3-O-(3-hydroxytetradecanoyl)transferase"
"R01045"	"C00116[c] + C00028[c] <=> C00184[c] + C00030[c]"	"glycerol:(acceptor) 1-oxidoreductase;"
"R05766"	"C00341[c] <=> C06307[c] + C00013[c]"	"geranyl-diphosphate diphosphate-lyase [cyclizing, (-)-beta-pinene-forming]"
"R06917"	"C14089[c] + C00003[c] <=> C14090[c] + C00004[c] + C00080[c]"	"1-hydroxymethylnaphthalene:NAD+ oxidoreductase"
"R00082"	"C00007[c] + 4 C01000[c] <=> 4 C00997[c] + 2 C00001[c]"	"ferrocytochrome c2:oxygen oxidoreductase"
"R08571"	"C00577[c] + C00001[c] + C00139[c] <=> C00258[c] + C00080[c] + C00138[c]"	"glyceraldehyde ferredoxin oxidoreductase"
"R13276"	"C22876[c] + C00006[c] <=> C22875[c] + C00005[c] + C00080[c]"	"X"
"R06261"	"G10617[c] + G10597[c] <=> G10622[c] + G00007[c]"	"X"
"R01533"	"C00202[c] + C00001[c] <=> C03113[c] + C16487[c]"	"diisopropyl-fluorophosphate fluorohydrolase"
"R11683"	"C21583[c] <=> C11816[c]"	"X"
"R09177"	"C14519[c] + C00019[c] <=> C18259[c] + C00021[c]"	"X"
"R04673"	"C00109[c] + C05125[c] <=> C06006[c] + C00068[c]"	"(S)-2-aceto-2-hydroxybutanoate pyruvate-lyase (carboxylating)"
"R11022"	"C03824[c] <=> C10164[c] + C00001[c]"	"X"
"R02908"	"C00780[c] + C00001[c] + C00007[c] <=> C05634[c] + C00014[c] + C00027[c]"	"5-hydroxytryptamine:oxygen oxidoreductase(deaminating)(flavin-containing)"
"R04301"	"C00019[c] + C03758[c] <=> C00021[c] + C05587[c]"	"S-adenosyl-L-methionine:catechol O-methyltransferase"
"R11738"	"C19714[c] + C03024[c] + C00007[c] <=> C21623[c] + C03161[c] + C00001[c]"	"X"
"R10350"	"C20525[c] + C00007[c] + C00005[c] + C00080[c] <=> C20526[c] + C00006[c] + C00001[c]"	"3-geranylgeranylindole,NADPH:oxygen oxidoreductase (10,11-epoxidizing)"
"R08497"	"C16735[c] <=> C16728[c]"	"X"
"R09756"	"C20504[c] + C00006[c] <=> C20503[c] + C00005[c] + C00080[c]"	"versicolorone:NADP+ oxidoreductase"
"R04844"	"C05483[c] + C00003[c] <=> C05478[c] + C00004[c] + C00080[c]"	"3alpha,20alpha,21-trihydroxy-5beta-pregnane-11-one:NAD+ oxidoreductase"
"R07106"	"C07490[c] + C00167[c] <=> C14869[c] + C00015[c]"	"UDP-glucuronate beta-D-glucuronosyltransferase"
"R09924"	"C04433[c] + C03024[c] + C00007[c] <=> C20221[c] + C03161[c] + 2 C00001[c]"	"8-hydroxylinalool,[reduced NADPH---hemoprotein reductase]:oxygen 8-oxidoreductase"
"R10009"	"C04216[c] <=> C20276[c] + C00013[c]"	"all-trans-heptaprenyl-diphosphate diphosphate-lyase (cyclizing, tetraprenyl-beta-curcumene-forming)"
"R10515"	"C00280[c] + 3 C00007[c] + 3 C03024[c] <=> C00468[c] + C00058[c] + 4 C00001[c] + 3 C03161[c]"	"androst-4-ene-3,17-dione monooxygenase (estrone-forming)"
"R09543"	"C00019[c] + C01209[c] <=> C00021[c] + C19673[c]"	"S-adenosyl-L-methionine:malonyl-[acyl-carrier protein] O-methyltransferase"
"R09679"	"3 C00019[c] + C10192[c] <=> 3 C00021[c] + C19807[c]"	"S-adenosyl-L-methionine:tricetin 3',4',5'-O-trimethyltransferase"
"R12397"	"C22135[c] + C21097[c] <=> C00020[c] + C22124[c]"	"palmitate:holo-[(hydroxy)phthioceranic acid synthase] ligase"
"R07923"	"C16313[c] + C00029[c] <=> C16354[c] + C00015[c]"	"UDP-glucose:anthocyanin 3'-O-beta-D-glucosyltransferase"
"R03472"	"C03373[c] + C00019[c] <=> C04556[c] + C05198[c] + C00073[c] + C00058[c] + C00237[c]"	"5-amino-1-(5-phospho-D-ribosyl)imidazole formate-lyase (decarboxylating, 4-amino-2-methyl-5-phosphomethylpyrimidine-forming)"
"R02461"	"C00515[c] <=> C03943[c]"	"D-ornithine 4,5-aminomutase"
"R07915"	"C16303[c] <=> C16302[c]"	"X"
"R10595"	"C12321[c] + C20720[c] <=> C00363[c] + C20721[c]"	"dTDP-L-4-epi-vancosamine:desvancosaminyl-vancomycin vancosaminyltransferase"
"R05465"	"C00118[c] + C00062[c] <=> C06655[c] + C00009[c]"	"X"
"R09797"	"C19909[c] <=> C19910[c]"	"N-acetyl-alpha-neuraminate 2-epimerase"
"R11006"	"C21022[c] + 2 C00999[c] + C00007[c] + 2 C00080[c] <=> C21023[c] + 2 C00996[c] + 2 C00001[c]"	"(4E,8E)-sphinga-4,8-dienine ceramide,ferrocytochrome b5:oxygen oxidoreductase (10,11-trans-dehydrogenating)"
"R12893"	"C09305[c] <=> C22444[c]"	"X"
"R03350"	"C04478[c] + C00001[c] <=> C01187[c] + C00009[c]"	"3-deoxy-D-manno-octulosonate-8-phosphate 8-phosphohydrolase"
"R10807"	"C06040[c] + C00029[c] <=> C20860[c] + C00015[c]"	"UDP-alpha-D-glucose:diglucosyldiacylglycerol 6-glucosyltransferase"
"R01627"	"C02637[c] <=> C00230[c] + C00001[c]"	"3-dehydroshikimate hydro-lyase"
"R03658"	"C00002[c] + C00047[c] + C01646[c] <=> C00020[c] + C00013[c] + C01931[c]"	"L-lysine:tRNALys ligase (AMP-forming)"
"R04327"	"2 C03840[c] + C00007[c] <=> 2 C04110[c]"	"5-hydroxy-1,4-naphthoquinone,water:oxygen oxidoreductase (3-hydroxylating)"
"R06668"	"C12414[c] + C11923[c] <=> C12413[c] + C00363[c]"	"dTDP-D-olivose:urdamycin-G D-olivosyltransferase"
"R08975"	"C18021[c] + C00001[c] <=> C18063[c] + C00132[c]"	"pheophorbide-a hydrolase"
"R09984"	"C02344[c] + C00003[c] <=> C11387[c] + C00004[c] + C00080[c]"	"(-)-endo-fenchol:NAD+ oxidoreductase"
"R00764"	"C00013[c] + C00085[c] <=> C00009[c] + C00354[c]"	"diphosphate:D-fructose-6-phosphate 1-phosphotransferase"
"R10961"	"C00512[c] + C00030[c] <=> C06322[c] + C00028[c]"	"X"
"R07195"	"C15509[c] + C03024[c] + C00007[c] <=> C10422[c] + C03161[c] + 2 C00001[c]"	"2-dimethylallyl-(6aS,11aS)-3,6a,9-trihydroxypterocarpan,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (cyclizing)"
"R08411"	"C00123[c] <=> C08262[c]"	"X"
