"Abbreviation"	"Description"	"Formula"
"C00051[c]"	"Glutathione"	"C10H17N3O6S"
"C00052[c]"	"UDP-alpha-D-galactose"	"C15H24N2O17P2"
"C00053[c]"	"3'-Phosphoadenylyl sulfate"	"C10H15N5O13P2S"
"C00054[c]"	"Adenosine 3',5'-bisphosphate"	"C10H15N5O10P2"
"C00055[c]"	"CMP"	"C9H14N3O8P"
"C00058[c]"	"Formate"	"CH2O2"
"C00059[c]"	"Sulfate"	"H2SO4"
"C00060[c]"	"Carboxylate"	"CO2R"
"C00061[c]"	"FMN"	"C17H21N4O9P"
"C00062[c]"	"L-Arginine"	"C6H14N4O2"
"C00063[c]"	"CTP"	"C9H16N3O14P3"
"C00064[c]"	"L-Glutamine"	"C5H10N2O3"
"C00065[c]"	"L-Serine"	"C3H7NO3"
"C00066[c]"	"tRNA"	"C10H17O10PR2(C5H8O6PR)n"
"C00067[c]"	"Formaldehyde"	"CH2O"
"C00068[c]"	"Thiamin diphosphate"	"C12H19N4O7P2S"
"C00069[c]"	"Alcohol"	"HOR"
"C00071[c]"	"Aldehyde"	"CHOR"
"C00072[c]"	"Ascorbate"	"C6H8O6"
"C00073[c]"	"L-Methionine"	"C5H11NO2S"
"C00074[c]"	"Phosphoenolpyruvate"	"C3H5O6P"
"C00075[c]"	"UTP"	"C9H15N2O15P3"
"C00077[c]"	"L-Ornithine"	"C5H12N2O2"
"C00078[c]"	"L-Tryptophan"	"C11H12N2O2"
"C00079[c]"	"L-Phenylalanine"	"C9H11NO2"
"C00080[c]"	"H+"	"H"
"C00081[c]"	"ITP"	"C10H15N4O14P3"
"C00082[c]"	"L-Tyrosine"	"C9H11NO3"
"C00083[c]"	"Malonyl-CoA"	"C24H38N7O19P3S"
"C00084[c]"	"Acetaldehyde"	"C2H4O"
"C00085[c]"	"D-Fructose 6-phosphate"	"C6H13O9P"
"C00086[c]"	"Urea"	"CH4N2O"
"C00087[c]"	"Sulfur"	"S"
"C00088[c]"	"Nitrite"	"HNO2"
"C00089[c]"	"Sucrose"	"C12H22O11"
"C00090[c]"	"Catechol"	"C6H6O2"
"C00091[c]"	"Succinyl-CoA"	"C25H40N7O19P3S"
"C00092[c]"	"D-Glucose 6-phosphate"	"C6H13O9P"
"C00093[c]"	"sn-Glycerol 3-phosphate"	"C3H9O6P"
"C00094[c]"	"Sulfite"	"H2SO3"
"C00095[c]"	"D-Fructose"	"C6H12O6"
"C00096[c]"	"GDP-mannose"	"C16H25N5O16P2"
"C00097[c]"	"L-Cysteine"	"C3H7NO2S"
"C00099[c]"	"beta-Alanine"	"C3H7NO2"
"C00100[c]"	"Propanoyl-CoA"	"C24H40N7O17P3S"
"C00101[c]"	"Tetrahydrofolate"	"C19H23N7O6"
"C00103[c]"	"D-Glucose 1-phosphate"	"C6H13O9P"
"C00104[c]"	"IDP"	"C10H14N4O11P2"
"C00105[c]"	"UMP"	"C9H13N2O9P"
"C00106[c]"	"Uracil"	"C4H4N2O2"
"C00108[c]"	"Anthranilate"	"C7H7NO2"
"C00109[c]"	"2-Oxobutanoate"	"C4H6O3"
"C00110[c]"	"Dolichyl phosphate"	"C20H37O4P(C5H8)n"
"C00111[c]"	"Glycerone phosphate"	"C3H7O6P"
"C00112[c]"	"CDP"	"C9H15N3O11P2"
"C00113[c]"	"PQQ"	"C14H6N2O8"
"C00114[c]"	"Choline"	"C5H14NO"
"C00116[c]"	"Glycerol"	"C3H8O3"
"C00117[c]"	"D-Ribose 5-phosphate"	"C5H11O8P"
"C00118[c]"	"D-Glyceraldehyde 3-phosphate"	"C3H7O6P"
"C00119[c]"	"5-Phospho-alpha-D-ribose 1-diphosphate"	"C5H13O14P3"
"C00120[c]"	"Biotin"	"C10H16N2O3S"
"C00121[c]"	"D-Ribose"	"C5H10O5"
"C00122[c]"	"Fumarate"	"C4H4O4"
"C00123[c]"	"L-Leucine"	"C6H13NO2"
"C00124[c]"	"D-Galactose"	"C6H12O6"
"C00125[c]"	"Ferricytochrome c"	"C42H44FeN8O8S2R4"
"C00126[c]"	"Ferrocytochrome c"	"C42H44FeN8O8S2R4"
"C00127[c]"	"Glutathione disulfide"	"C20H32N6O12S2"
"C00128[c]"	"CMP-N-acetylneuraminate"	"C20H31N4O16P"
"C00129[c]"	"Isopentenyl diphosphate"	"C5H12O7P2"
"C00130[c]"	"IMP"	"C10H13N4O8P"
"C00131[c]"	"dATP"	"C10H16N5O12P3"
"C00132[c]"	"Methanol"	"CH4O"
"C00133[c]"	"D-Alanine"	"C3H7NO2"
"C00134[c]"	"Putrescine"	"C4H12N2"
"C00135[c]"	"L-Histidine"	"C6H9N3O2"
"C00136[c]"	"Butanoyl-CoA"	"C25H42N7O17P3S"
"C00137[c]"	"myo-Inositol"	"C6H12O6"
"C00138[c]"	"Reduced ferredoxin"	"X"
"C00139[c]"	"Oxidized ferredoxin"	"X"
"C00140[c]"	"N-Acetyl-D-glucosamine"	"C8H15NO6"
"C00141[c]"	"3-Methyl-2-oxobutanoic acid"	"C5H8O3"
"C00143[c]"	"5,10-Methylenetetrahydrofolate"	"C20H23N7O6"
"C00144[c]"	"GMP"	"C10H14N5O8P"
"C00145[c]"	"Thiol"	"HSR"
"C00146[c]"	"Phenol"	"C6H6O"
"C00147[c]"	"Adenine"	"C5H5N5"
"C00148[c]"	"L-Proline"	"C5H9NO2"
"C00149[c]"	"(S)-Malate"	"C4H6O5"
"C00151[c]"	"L-Amino acid"	"C2H4NO2R"
"C00152[c]"	"L-Asparagine"	"C4H8N2O3"
"C00153[c]"	"Nicotinamide"	"C6H6N2O"
"C00154[c]"	"Palmitoyl-CoA"	"C37H66N7O17P3S"
"C00155[c]"	"L-Homocysteine"	"C4H9NO2S"
"C00156[c]"	"4-Hydroxybenzoate"	"C7H6O3"
"C00157[c]"	"Phosphatidylcholine"	"C10H18NO8PR2"
"C00158[c]"	"Citrate"	"C6H8O7"
"C00159[c]"	"D-Mannose"	"C6H12O6"
"C00160[c]"	"Glycolate"	"C2H4O3"
"C00161[c]"	"2-Oxo acid"	"C2HO3R"
"C00162[c]"	"Fatty acid"	"CHO2R"
"C00163[c]"	"Propanoate"	"C3H6O2"
"C00164[c]"	"Acetoacetate"	"C4H6O3"
"C00165[c]"	"Diacylglycerol"	"C5H6O5R2"
"C00166[c]"	"Phenylpyruvate"	"C9H8O3"
"C00167[c]"	"UDP-glucuronate"	"C15H22N2O18P2"
"C00168[c]"	"Hydroxypyruvate"	"C3H4O4"
"C00169[c]"	"Carbamoyl phosphate"	"CH4NO5P"
"C00170[c]"	"5'-Methylthioadenosine"	"C11H15N5O3S"
"C00173[c]"	"Acyl-[acyl-carrier protein]"	"C3H4OSR2"
"C00174[c]"	"Acid"	"X"
"C00175[c]"	"Cobalt ion"	"Co"
"C00176[c]"	"Flavin"	"C12H9N4O2R"
"C00177[c]"	"Cyanide ion"	"CN"
"C00178[c]"	"Thymine"	"C5H6N2O2"
"C00179[c]"	"Agmatine"	"C5H14N4"
"C00180[c]"	"Benzoate"	"C7H6O2"
"C00181[c]"	"D-Xylose"	"C5H10O5"
"C00183[c]"	"L-Valine"	"C5H11NO2"
"C00184[c]"	"Glycerone"	"C3H6O3"
"C00185[c]"	"Cellobiose"	"C12H22O11"
"C00186[c]"	"(S)-Lactate"	"C3H6O3"
"C00187[c]"	"Cholesterol"	"C27H46O"
"C00188[c]"	"L-Threonine"	"C4H9NO3"
"C00189[c]"	"Ethanolamine"	"C2H7NO"
"C00190[c]"	"UDP-D-xylose"	"C14H22N2O16P2"
"C00191[c]"	"D-Glucuronate"	"C6H10O7"
"C00192[c]"	"Hydroxylamine"	"NH3O"
"C00193[c]"	"Aromatic aldehyde"	"C7H6O"
"C00194[c]"	"Cobamide coenzyme"	"C72H100CoN18O17P"
"C00195[c]"	"N-Acylsphingosine"	"C19H36NO3R"
"C00196[c]"	"2,3-Dihydroxybenzoate"	"C7H6O4"
"C00197[c]"	"3-Phospho-D-glycerate"	"C3H7O7P"
"C00198[c]"	"D-Glucono-1,5-lactone"	"C6H10O6"
"C00199[c]"	"D-Ribulose 5-phosphate"	"C5H11O8P"
"C00201[c]"	"Nucleoside triphosphate"	"C5H12O13P3R"
"C00202[c]"	"Isoflurophate"	"C6H14FO3P"
"C00203[c]"	"UDP-N-acetyl-D-galactosamine"	"C17H27N3O17P2"
"C00204[c]"	"2-Dehydro-3-deoxy-D-gluconate"	"C6H10O6"
"C00205[c]"	"hn"	"X"
"C00206[c]"	"dADP"	"C10H15N5O9P2"
"C00207[c]"	"Acetone"	"C3H6O"
"C00208[c]"	"Maltose"	"C12H22O11"
"C00209[c]"	"Oxalate"	"C2H2O4"
"C00212[c]"	"Adenosine"	"C10H13N5O4"
"C00213[c]"	"Sarcosine"	"C3H7NO2"
"C00214[c]"	"Thymidine"	"C10H14N2O5"
"C00215[c]"	"Nucleotide"	"X"
"C00216[c]"	"D-Arabinose"	"C5H10O5"
"C00217[c]"	"D-Glutamate"	"C5H9NO4"
"C00218[c]"	"Methylamine"	"CH5N"
"C00219[c]"	"Arachidonate"	"C20H32O2"
"C00221[c]"	"beta-D-Glucose"	"C6H12O6"
"C00222[c]"	"3-Oxopropanoate"	"C3H4O3"
"C00223[c]"	"p-Coumaroyl-CoA"	"C30H42N7O18P3S"
"C00224[c]"	"Adenylyl sulfate"	"C10H14N5O10PS"
"C00226[c]"	"Primary alcohol"	"CH3OR"
"C00227[c]"	"Acetyl phosphate"	"C2H5O5P"
"C00229[c]"	"Acyl-carrier protein"	"HSR"
"C00230[c]"	"3,4-Dihydroxybenzoate"	"C7H6O4"
"C00231[c]"	"D-Xylulose 5-phosphate"	"C5H11O8P"
"C00232[c]"	"Succinate semialdehyde"	"C4H6O3"
"C00233[c]"	"4-Methyl-2-oxopentanoate"	"C6H10O3"
"C00234[c]"	"10-Formyltetrahydrofolate"	"C20H23N7O7"
"C00235[c]"	"Dimethylallyl diphosphate"	"C5H12O7P2"
"C00236[c]"	"3-Phospho-D-glyceroyl phosphate"	"C3H8O10P2"
"C00237[c]"	"CO"	"CO"
"C00239[c]"	"dCMP"	"C9H14N3O7P"
"C00240[c]"	"rRNA"	"C15H25O16P2R3"
"C00241[c]"	"Amide"	"CH2NOR"
"C00242[c]"	"Guanine"	"C5H5N5O"
"C00243[c]"	"Lactose"	"C12H22O11"
"C00244[c]"	"Nitrate"	"HNO3"
"C00245[c]"	"Taurine"	"C2H7NO3S"
"C00246[c]"	"Butanoic acid"	"C4H8O2"
"C00247[c]"	"L-Sorbose"	"C6H12O6"
"C00248[c]"	"Lipoamide"	"C8H15NOS2"
"C00249[c]"	"Hexadecanoic acid"	"C16H32O2"
"C00250[c]"	"Pyridoxal"	"C8H9NO3"
"C00251[c]"	"Chorismate"	"C10H10O6"
"C00252[c]"	"Isomaltose"	"C12H22O11"
"C00253[c]"	"Nicotinate"	"C6H5NO2"
"C00254[c]"	"Prephenate"	"C10H10O6"
"C00255[c]"	"Riboflavin"	"C17H20N4O6"
"C00256[c]"	"(R)-Lactate"	"C3H6O3"
"C00257[c]"	"D-Gluconic acid"	"C6H12O7"
"C00258[c]"	"D-Glycerate"	"C3H6O4"
"C00259[c]"	"L-Arabinose"	"C5H10O5"
"C00261[c]"	"Benzaldehyde"	"C7H6O"
"C00262[c]"	"Hypoxanthine"	"C5H4N4O"
"C00263[c]"	"L-Homoserine"	"C4H9NO3"
"C00264[c]"	"3-Oxoacyl-CoA"	"C24H37N7O18P3SR"
"C00265[c]"	"Dithiothreitol"	"C4H10O2S2"
"C00266[c]"	"Glycolaldehyde"	"C2H4O2"
"C00267[c]"	"alpha-D-Glucose"	"C6H12O6"
"C00268[c]"	"Dihydrobiopterin"	"C9H13N5O3"
"C00269[c]"	"CDP-diacylglycerol"	"C14H19N3O15P2R2"
"C00270[c]"	"N-Acetylneuraminate"	"C11H19NO9"
"C00272[c]"	"Tetrahydrobiopterin"	"C9H15N5O3"
"C00273[c]"	"5-Dehydro-D-fructose"	"C6H10O6"
"C00275[c]"	"D-Mannose 6-phosphate"	"C6H13O9P"
"C00279[c]"	"D-Erythrose 4-phosphate"	"C4H9O7P"
"C00280[c]"	"Androstenedione"	"C19H26O2"
"C00282[c]"	"Hydrogen"	"H2"
"C00283[c]"	"Hydrogen sulfide"	"H2S"
"C00284[c]"	"EDTA"	"C10H16N2O8"
"C00286[c]"	"dGTP"	"C10H16N5O13P3"
"C00288[c]"	"HCO3-"	"HCO3"
"C00292[c]"	"Aniline"	"C6H7N"
"C00294[c]"	"Inosine"	"C10H12N4O5"
"C00295[c]"	"Orotate"	"C5H4N2O4"
"C00296[c]"	"Quinate"	"C7H12O6"
"C00299[c]"	"Uridine"	"C9H12N2O6"
"C00300[c]"	"Creatine"	"C4H9N3O2"
"C00301[c]"	"ADP-ribose"	"C15H23N5O14P2"
"C00302[c]"	"Glutamate"	"C5H9NO4"
"C00305[c]"	"Magnesium cation"	"Mg"
"C00307[c]"	"CDP-choline"	"C14H26N4O11P2"
"C00308[c]"	"Canavanine"	"C5H12N4O3"
"C00309[c]"	"D-Ribulose"	"C5H10O5"
"C00310[c]"	"D-Xylulose"	"C5H10O5"
"C00311[c]"	"Isocitrate"	"C6H8O7"
"C00312[c]"	"L-Xylulose"	"C5H10O5"
"C00313[c]"	"Oxalyl-CoA"	"C23H36N7O19P3S"
"C00314[c]"	"Pyridoxine"	"C8H11NO3"
"C00315[c]"	"Spermidine"	"C7H19N3"
"C00318[c]"	"L-Carnitine"	"C7H15NO3"
"C00319[c]"	"Sphingosine"	"C18H37NO2"
"C00320[c]"	"Thiosulfate"	"HS2O3"
"C00322[c]"	"2-Oxoadipate"	"C6H8O5"
"C00323[c]"	"Caffeoyl-CoA"	"C30H42N7O19P3S"
"C00325[c]"	"GDP-L-fucose"	"C16H25N5O15P2"
"C00326[c]"	"Glycoprotein"	"X"
"C00327[c]"	"L-Citrulline"	"C6H13N3O3"
"C00328[c]"	"L-Kynurenine"	"C10H12N2O3"
"C00329[c]"	"D-Glucosamine"	"C6H13NO5"
"C00330[c]"	"Deoxyguanosine"	"C10H13N5O4"
"C00331[c]"	"Indolepyruvate"	"C11H9NO3"
"C00332[c]"	"Acetoacetyl-CoA"	"C25H40N7O18P3S"
"C00333[c]"	"D-Galacturonate"	"C6H10O7"
"C00334[c]"	"4-Aminobutanoate"	"C4H9NO2"
"C00337[c]"	"(S)-Dihydroorotate"	"C5H6N2O4"
"C00338[c]"	"Lipopolysaccharide"	"X"
"C00339[c]"	"Long-chain alcohol"	"CH3OR"
"C00340[c]"	"Reduced rubredoxin"	"X"
"C00341[c]"	"Geranyl diphosphate"	"C10H20O7P2"
"C00342[c]"	"Thioredoxin"	"C10H14N4O4S2R4"
"C00343[c]"	"Thioredoxin disulfide"	"C10H12N4O4S2R4"
"C00344[c]"	"Phosphatidylglycerol"	"C8H13O10PR2"
"C00345[c]"	"6-Phospho-D-gluconate"	"C6H13O10P"
"C00346[c]"	"Ethanolamine phosphate"	"C2H8NO4P"
"C00347[c]"	"Long-chain carboxylate"	"C3H5O2R"
"C00349[c]"	"2-Methyl-3-oxopropanoate"	"C4H6O3"
"C00350[c]"	"Phosphatidylethanolamine"	"C7H12NO8PR2"
"C00352[c]"	"D-Glucosamine 6-phosphate"	"C6H14NO8P"
"C00353[c]"	"Geranylgeranyl diphosphate"	"C20H36O7P2"
"C00354[c]"	"D-Fructose 1,6-bisphosphate"	"C6H14O12P2"
"C00355[c]"	"3,4-Dihydroxy-L-phenylalanine"	"C9H11NO4"
"C00356[c]"	"(S)-3-Hydroxy-3-methylglutaryl-CoA"	"C27H44N7O20P3S"
"C00357[c]"	"N-Acetyl-D-glucosamine 6-phosphate"	"C8H16NO9P"
"C00360[c]"	"dAMP"	"C10H14N5O6P"
"C00361[c]"	"dGDP"	"C10H15N5O10P2"
"C00362[c]"	"dGMP"	"C10H14N5O7P"
"C00363[c]"	"dTDP"	"C10H16N2O11P2"
"C00364[c]"	"dTMP"	"C10H15N2O8P"
"C00365[c]"	"dUMP"	"C9H13N2O8P"
"C00366[c]"	"Urate"	"C5H4N4O3"
"C00369[c]"	"Starch"	"(C12H20O10)n"
"C00370[c]"	"Sterol"	"C17H28O"
"C00371[c]"	"Zeatin"	"C10H13N5O"
"C00372[c]"	"Dextran"	"(C12H20O10)n"
"C00375[c]"	"RCH2NH2"	"CH4NR"
"C00376[c]"	"Retinal"	"C20H28O"
"C00377[c]"	"Steroid"	"X"
"C00378[c]"	"Thiamine"	"C12H17N4OS"
"C00379[c]"	"Xylitol"	"C5H12O5"
"C00380[c]"	"Cytosine"	"C4H5N3O"
"C00381[c]"	"Dolichol"	"C20H36O(C5H8)n"
"C00383[c]"	"Malonate"	"C3H4O4"
"C00385[c]"	"Xanthine"	"C5H4N4O2"
"C00386[c]"	"Carnosine"	"C9H14N4O3"
"C00387[c]"	"Guanosine"	"C10H13N5O5"
"C00388[c]"	"Histamine"	"C5H9N3"
"C00389[c]"	"Quercetin"	"C15H10O7"
"C00390[c]"	"Ubiquinol"	"C14H20O4(C5H8)n"
"C00392[c]"	"Mannitol"	"C6H14O6"
"C00394[c]"	"GDP-glucose"	"C16H25N5O16P2"
"C00395[c]"	"Penicillin"	"C9H11N2O4SR"
"C00396[c]"	"Pyrimidine"	"C4H4N2"
"C00397[c]"	"Tobramycin"	"C18H37N5O9"
"C00398[c]"	"Tryptamine"	"C10H12N2"
"C00399[c]"	"Ubiquinone"	"C14H18O4(C5H8)n"
"C00400[c]"	"(-)-Menthol"	"C10H20O"
"C00401[c]"	"Chondroitin"	"(C14H21NO11)n"
"C00402[c]"	"D-Aspartate"	"C4H7NO4"
"C00403[c]"	"Polypeptide"	"C4H6N2O3R2(C2H2NOR)n"
"C00404[c]"	"Polyphosphate"	"H4P2O7(HPO3)n"
"C00405[c]"	"D-Amino acid"	"C2H4NO2R"
"C00406[c]"	"Feruloyl-CoA"	"C31H44N7O19P3S"
"C00407[c]"	"L-Isoleucine"	"C6H13NO2"
"C00408[c]"	"L-Pipecolate"	"C6H11NO2"
"C00409[c]"	"Methanethiol"	"CH4S"
"C00410[c]"	"Progesterone"	"C21H30O2"
"C00411[c]"	"Sinapoyl-CoA"	"C32H46N7O20P3S"
"C00412[c]"	"Stearoyl-CoA"	"C39H70N7O17P3S"
"C00413[c]"	"Streptomycin"	"C21H39N7O12"
"C00414[c]"	"Cyclohexanone"	"C6H10O"
"C00415[c]"	"Dihydrofolate"	"C19H21N7O6"
"C00416[c]"	"Phosphatidate"	"C5H7O8PR2"
"C00417[c]"	"cis-Aconitate"	"C6H6O6"
"C00418[c]"	"(R)-Mevalonate"	"C6H12O4"
"C00419[c]"	"Polynucleotide"	"C10H17O10PR2(C5H8O6PR)n"
"C00420[c]"	"Polysaccharide"	"C12H22O11(C6H10O5)n"
"C00422[c]"	"Triacylglycerol"	"C6H5O6R3"
"C00423[c]"	"trans-Cinnamate"	"C9H8O2"
"C00424[c]"	"(S)-Lactaldehyde"	"C3H6O2"
"C00426[c]"	"Dermatan sulfate"	"(C14H18NO11R3)n"
"C00427[c]"	"Prostaglandin H2"	"C20H32O5"
"C00429[c]"	"5,6-Dihydrouracil"	"C4H6N2O2"
"C00430[c]"	"5-Aminolevulinate"	"C5H9NO3"
"C00431[c]"	"5-Aminopentanoate"	"C5H11NO2"
"C00433[c]"	"2,5-Dioxopentanoate"	"C5H6O4"
"C00435[c]"	"Oxidized rubredoxin"	"X"
"C00436[c]"	"N-Carbamoylputrescine"	"C5H13N3O"
"C00437[c]"	"N-Acetylornithine"	"C7H14N2O3"
"C00438[c]"	"N-Carbamoyl-L-aspartate"	"C5H8N2O5"
"C00439[c]"	"N-Formimino-L-glutamate"	"C6H10N2O4"
"C00440[c]"	"5-Methyltetrahydrofolate"	"C20H25N7O6"
"C00441[c]"	"L-Aspartate 4-semialdehyde"	"C4H7NO3"
"C00445[c]"	"5,10-Methenyltetrahydrofolate"	"C20H22N7O6"
"C00446[c]"	"alpha-D-Galactose 1-phosphate"	"C6H13O9P"
"C00447[c]"	"Sedoheptulose 1,7-bisphosphate"	"C7H16O13P2"
"C00448[c]"	"trans,trans-Farnesyl diphosphate"	"C15H28O7P2"
"C00449[c]"	"N6-(L-1,3-Dicarboxypropyl)-L-lysine"	"C11H20N2O6"
"C00450[c]"	"(S)-2,3,4,5-Tetrahydropyridine-2-carboxylate"	"C6H9NO2"
"C00451[c]"	"(1R,2S)-1-Hydroxypropane-1,2,3-tricarboxylate"	"C6H8O7"
"C00454[c]"	"NDP"	"C5H11O10P2R"
"C00455[c]"	"Nicotinamide D-ribonucleotide"	"C11H15N2O8P"
"C00458[c]"	"dCTP"	"C9H16N3O13P3"
"C00459[c]"	"dTTP"	"C10H17N2O14P3"
"C00460[c]"	"dUTP"	"C9H15N2O14P3"
"C00461[c]"	"Chitin"	"(C8H13NO5)n"
"C00462[c]"	"Halide"	"HX"
"C00463[c]"	"Indole"	"C8H7N"
"C00464[c]"	"Mannan"	"X"
"C00466[c]"	"Acetoin"	"C4H8O2"
"C00468[c]"	"Estrone"	"C18H22O2"
"C00469[c]"	"Ethanol"	"C2H6O"
"C00470[c]"	"Pectate"	"C12H18O13(C6H8O6)n-2"
"C00472[c]"	"p-Benzoquinone"	"C6H4O2"
"C00473[c]"	"Retinol"	"C20H30O"
"C00474[c]"	"Ribitol"	"C5H12O5"
"C00475[c]"	"Cytidine"	"C9H13N3O5"
"C00476[c]"	"D-Lyxose"	"C5H10O5"
"C00477[c]"	"Ecdysone"	"C27H44O6"
"C00479[c]"	"Propanal"	"C3H6O"
"C00481[c]"	"Pyrazole"	"C3H4N2"
"C00482[c]"	"Sinapate"	"C11H12O5"
"C00483[c]"	"Tyramine"	"C8H11NO"
"C00486[c]"	"Bilirubin"	"C33H36N4O6"
"C00487[c]"	"Carnitine"	"C7H16NO3"
"C00488[c]"	"Formamide"	"CH3NO"
"C00489[c]"	"Glutarate"	"C5H8O4"
"C00490[c]"	"Itaconate"	"C5H6O4"
"C00491[c]"	"L-Cystine"	"C6H12N2O4S2"
"C00492[c]"	"Raffinose"	"C18H32O16"
"C00493[c]"	"Shikimate"	"C7H10O5"
"C00495[c]"	"Sulochrin"	"C17H16O7"
"C00496[c]"	"Ubiquitin"	"X"
"C00497[c]"	"(R)-Malate"	"C4H6O5"
"C00498[c]"	"ADP-glucose"	"C16H25N5O15P2"
"C00499[c]"	"Allantoate"	"C4H8N4O4"
"C00500[c]"	"Biliverdin"	"C33H34N4O6"
"C00501[c]"	"CDP-glucose"	"C15H25N3O16P2"
"C00502[c]"	"D-Xylonate"	"C5H10O6"
"C00503[c]"	"Erythritol"	"C4H10O4"
"C00504[c]"	"Folate"	"C19H19N7O6"
"C00505[c]"	"Gentamicin"	"X"
"C00506[c]"	"L-Cysteate"	"C3H7NO5S"
"C00507[c]"	"L-Rhamnose"	"C6H12O5"
"C00508[c]"	"L-Ribulose"	"C5H10O5"
"C00509[c]"	"Naringenin"	"C15H12O5"
"C00510[c]"	"Oleoyl-CoA"	"C39H68N7O17P3S"
"C00511[c]"	"Acrylic acid"	"C3H4O2"
"C00512[c]"	"Benzoyl-CoA"	"C28H40N7O17P3S"
"C00513[c]"	"CDP-glycerol"	"C12H21N3O13P2"
"C00514[c]"	"D-Mannonate"	"C6H12O7"
"C00515[c]"	"D-Ornithine"	"C5H12N2O2"
"C00517[c]"	"Hexadecanal"	"C16H32O"
"C00518[c]"	"Hyaluronate"	"(C14H21NO12)n"
"C00519[c]"	"Hypotaurine"	"C2H7NO2S"
"C00521[c]"	"(S)-Limonene"	"C10H16"
"C00522[c]"	"(R)-Pantoate"	"C6H12O4"
"C00523[c]"	"Androsterone"	"C19H30O2"
"C00524[c]"	"Cytochrome c"	"C42H44FeN8O8S2R4"
"C00525[c]"	"D-Tryptophan"	"C11H12N2O2"
"C00526[c]"	"Deoxyuridine"	"C9H12N2O5"
"C00527[c]"	"Glutaryl-CoA"	"C26H42N7O19P3S"
"C00530[c]"	"Hydroquinone"	"C6H6O2"
"C00531[c]"	"Itaconyl-CoA"	"C26H40N7O19P3S"
"C00532[c]"	"L-Arabitol"	"C5H12O5"
"C00533[c]"	"Nitric oxide"	"NO"
"C00534[c]"	"Pyridoxamine"	"C8H12N2O2"
"C00535[c]"	"Testosterone"	"C19H28O2"
"C00536[c]"	"Triphosphate"	"H5P3O10"
"C00538[c]"	"2-Oxoaldehyde"	"C2HO2R"
"C00539[c]"	"Aromatic acid"	"C7H6O2"
"C00540[c]"	"Cinnamoyl-CoA"	"C30H42N7O17P3S"
"C00541[c]"	"Cob(II)alamin"	"C62H88CoN13O14P"
"C00542[c]"	"Cystathionine"	"C7H14N2O4S"
"C00543[c]"	"Dimethylamine"	"C2H7N"
"C00544[c]"	"Homogentisate"	"C8H8O4"
"C00545[c]"	"L-Arabinonate"	"C5H10O6"
"C00546[c]"	"Methylglyoxal"	"C3H4O2"
"C00547[c]"	"L-Noradrenaline"	"C8H11NO3"
"C00548[c]"	"Phenyl acetate"	"C8H8O2"
