,Abbreviation,Description,Reaction
99,EX_hdca_e,Hexadecanoate (n-C16:0) exchange,hdca_e <==> 
100,EX_idon__L_e,L-Idonate exchange,idon__L_e <==> 
101,EX_indole_e,Indole exchange,indole_e <==> 
102,EX_inost_e,Myo-Inositol exchange,inost_e <==> 
103,EX_ins_e,Inosine exchange,ins_e <==> 
104,EX_isetac_e,Isethionic acid exchange,isetac_e <==> 
105,EX_k_e,K+ exchange,k_e <==> 
106,EX_lac__L_e,L-Lactate exchange,lac__L_e <==> 
107,EX_lipoate_e,Lipoate exchange,lipoate_e <==> 
108,EX_lyx__L_e,L-Lyxose exchange,lyx__L_e <==> 
109,EX_malthx_e,Maltohexaose exchange,malthx_e <==> 
110,EX_malttr_e,Maltotriose exchange,malttr_e <==> 
111,EX_maltttr_e,Maltotetraose exchange,maltttr_e <==> 
112,EX_melib_e,Melibiose exchange,melib_e <==> 
113,EX_met__L_e,L-Methionine exchange,met__L_e <==> 
114,EX_metsox_S__L_e,L-Methionine S-oxide exchange,metsox_S__L_e <==> 
115,EX_mnl_e,D-Mannitol exchange,mnl_e <==> 
116,EX_mso3_e,Methanesulfonate exchange,mso3_e <==> 
117,EX_n2o_e,Nitrous oxide exchange,n2o_e <==> 
118,EX_na1_e,Sodium exchange,na1_e <==> 
119,EX_nac_e,Nicotinate exchange,nac_e <==> 
120,EX_no_e,Nitric oxide exchange,no_e <==> 
121,EX_no2_e,Nitrite exchange,no2_e <==> 
122,EX_no3_e,Nitrate exchange,no3_e <==> 
123,EX_o16a4colipa_e,(O16 antigen)x4 core oligosaccharide lipid A exchange,o16a4colipa_e <==> 
124,EX_ocdcea_e,Octadecenoate (n-C18:1) exchange,ocdcea_e <==> 
125,EX_orot_e,Orotate exchange,orot_e <==> 
126,EX_pacald_e,Phenylacetaldehyde exchange,pacald_e <==> 
127,EX_pheme_e,Protoheme exchange,pheme_e <==> 
128,EX_pnto__R_e,(R)-Pantothenate exchange,pnto__R_e <==> 
129,EX_ppa_e,Propionate exchange,ppa_e <==> 
130,EX_ppal_e,Propanal exchange,ppal_e <==> 
131,EX_pppn_e,Phenylpropanoate exchange,pppn_e <==> 
132,EX_progly_e,L-Prolinylglycine exchange,progly_e <==> 
133,EX_pser__L_e,O-Phospho-L-serine exchange,pser__L_e <==> 
134,EX_ptrc_e,Putrescine exchange,ptrc_e <==> 
135,EX_pydam_e,Pyridoxamine exchange,pydam_e <==> 
136,EX_pydx_e,Pyridoxal exchange,pydx_e <==> 
137,EX_pyr_e,Pyruvate exchange,pyr_e <==> 
138,EX_rmn_e,L-Rhamnose exchange,rmn_e <==> 
139,EX_sbt__D_e,D-Sorbitol exchange,sbt__D_e <==> 
140,EX_sel_e,Selenate exchange,sel_e <==> 
141,EX_ser__D_e,D-Serine exchange,ser__D_e <==> 
142,EX_skm_e,Shikimate exchange,skm_e <==> 
143,EX_so3_e,Sulfite exchange,so3_e <==> 
144,EX_so4_e,Sulfate exchange,so4_e <==> 
145,EX_spmd_e,Spermidine exchange,spmd_e <==> 
146,EX_sulfac_e,Sulfoacetate exchange,sulfac_e <==> 
147,EX_taur_e,Taurine exchange,taur_e <==> 
148,EX_thm_e,Thiamin exchange,thm_e <==> 
149,EX_thr__L_e,L-Threonine exchange,thr__L_e <==> 
150,EX_tmao_e,Trimethylamine N-oxide exchange,tmao_e <==> 
151,EX_ttdca_e,Tetradecanoate (n-C14:0) exchange,ttdca_e <==> 
152,EX_ttrcyc_e,Tetracycline exchange,ttrcyc_e <==> 
153,EX_tym_e,Tyramine exchange,tym_e <==> 
154,EX_tyr__L_e,L-Tyrosine exchange,tyr__L_e <==> 
155,EX_tyrp_e,Phosphotyrosine exchange,tyrp_e <==> 
156,EX_udpacgal_e,UDP-N-acetyl-D-galactosamine exchange,udpacgal_e <==> 
157,EX_udpg_e,UDPglucose exchange,udpg_e <==> 
158,EX_urea_e,Urea exchange,urea_e <==> 
159,EX_uri_e,Uridine exchange,uri_e <==> 
160,EX_val__L_e,L-Valine exchange,val__L_e <==> 
161,EX_xan_e,Xanthine exchange,xan_e <==> 
162,EX_xmp_e,Xanthosine 5'-phosphate exchange,xmp_e <==> 
163,EX_xtsn_e,Xanthosine exchange,xtsn_e <==> 
164,EX_xyl__D_e,D-Xylose exchange,xyl__D_e <==> 
165,EX_zn2_e,Zinc exchange,zn2_e <==> 
166,12DGR120tipp,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C12:0)",12dgr120_p <==> 12dgr120_c
167,12DGR140tipp,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C14:0)",12dgr140_p <==> 12dgr140_c
168,12DGR161tipp,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C16:1)",12dgr161_p <==> 12dgr161_c
169,12DGR180tipp,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C18:0)",12dgr180_p <==> 12dgr180_c
170,12DGR181tipp,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C18:1)",12dgr181_p <==> 12dgr181_c
171,12PPDStex,"(S)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)",12ppd__S_e <==> 12ppd__S_p
172,14GLUCANabcpp,"1,4-alpha-D-glucan transport via ABC system (periplasm)",atp_c + h2o_c + 14glucan_p <==> 14glucan_c + adp_c + h_c + pi_c
173,23CCMPtex,23cCMP transport via diffusion (extracellular to periplasm),23ccmp_e <==> 23ccmp_p
174,23CGMPtex,23cGMP transport via diffusion (extracellular to periplasm),23cgmp_e <==> 23cgmp_p
175,23PDE2pp,"2',3'-cyclic-nucleotide phosphodiesterase (UMP) (periplasm)",23cump_p + h2o_p <==> 3ump_p + h_p
176,23PDE9pp,"2',3'-cyclic-nucleotide phosphodiesterase (GMP) (periplasm)",23cgmp_p + h2o_p <==> 3gmp_p + h_p
177,2AGPA120tipp,2-Acyl-sn-glycero-3-phosphatidate (n-C12:0) transporter via facilitated diffusion (periplasm),2ddecg3p_p <==> 2ddecg3p_c
178,2AGPA140tipp,2-Acyl-sn-glycero-3-phosphatidate (n-C14:0) transporter via facilitated diffusion (periplasm),2tdecg3p_p <==> 2tdecg3p_c
179,2AGPA180tipp,2-Acyl-sn-glycero-3-phosphatidate (n-C18:0) transporter via facilitated diffusion (periplasm),2odecg3p_p <==> 2odecg3p_c
180,2AGPA181tipp,2-Acyl-sn-glycero-3-phosphatidate (n-C18:1) transporter via facilitated diffusion (periplasm),2odec11eg3p_p <==> 2odec11eg3p_c
181,2AGPE140tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0) transporter via facilitated diffusion (periplasm),2agpe140_p <==> 2agpe140_c
182,2AGPE141tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1) transporter via facilitated diffusion (periplasm),2agpe141_p <==> 2agpe141_c
183,2AGPEAT141,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C14:1),2agpe141_c + atp_c + ttdcea_c <==> amp_c + pe141_c + ppi_c
184,2AGPG160tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0) transporter via facilitated diffusion (periplasm),2agpg160_p <==> 2agpg160_c
185,2AGPG161tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1) transporter via facilitated diffusion (periplasm),2agpg161_p <==> 2agpg161_c
186,2AGPG180tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0) transporter via facilitated diffusion (periplasm),2agpg180_p <==> 2agpg180_c
187,2AGPG181tipp,2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1) transporter via facilitated diffusion (periplasm),2agpg181_p <==> 2agpg181_c
188,2AGPGAT120,2-acyl-glycerophospho-glycerol acyltransferase (n-C12:0),2agpg120_c + atp_c + ddca_c <==> amp_c + pg120_c + ppi_c
189,2AGPGAT141,2-acyl-glycerophospho-glycerol acyltransferase (n-C14:1),2agpg141_c + atp_c + ttdcea_c <==> amp_c + pg141_c + ppi_c
190,2AGPGAT160,2-acyl-glycerophospho-glycerol acyltransferase (n-C16:0),2agpg160_c + atp_c + hdca_c <==> amp_c + pg160_c + ppi_c
191,2AGPGAT180,2-acyl-glycerophospho-glycerol acyltransferase (n-C18:0),2agpg180_c + atp_c + ocdca_c <==> amp_c + pg180_c + ppi_c
192,2DGULRGx,2-Dehydro-L-gulonate reductase to gluconate (NADH),2dhguln_c + h_c + nadh_c <==> glcn_c + nad_c
193,2DGULRx,2-dehydro-L-gulonate reductase (NADH),2dhguln_c + h_c + nadh_c <==> idon__L_c + nad_c
194,2MAHMP,2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphatase,2mahmp_c + h2o_c <==> 4ampm_c + h_c + pi_c
195,3AMPtex,3AMP transport via diffusion (extracellular to periplasm),3amp_e <==> 3amp_p
196,3GMPtex,3GMP transport via diffusion (extracellular to periplasm),3gmp_e <==> 3gmp_p
197,3HAD121,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:1),3hcddec5eACP_c <==> h2o_c + t3c5ddeceACP_c
198,3HAD160,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:0),3hpalmACP_c <==> h2o_c + tpalm2eACP_c
199,3HAD161,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:1),3hcpalm9eACP_c <==> h2o_c + t3c9palmeACP_c
200,3HAD180,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:0),3hoctaACP_c <==> h2o_c + toctd2eACP_c
201,3HAD80,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C8:0),3hoctACP_c <==> h2o_c + toct2eACP_c
202,3HPPtex,3-hydroxypropionate transport via diffusion (extracellular to periplasm),3hpp_e <==> 3hpp_p
203,3HPPtpp,3-hydroxypropionate transport via proton symport (periplasm),3hpp_c + h_c <==> 3hpp_p + h_p
204,3KGK,3-keto-L-gulonate kinase,3dhguln_c + atp_c <==> 3dhgulnp_c + adp_c + h_c
205,3NTD2pp,3'-nucleotidase (UMP) (periplasm),3ump_p + h2o_p <==> pi_p + uri_p
206,3NTD9pp,3'-nucleotidase (GMP) (periplasm),3gmp_p + h2o_p <==> gsn_p + pi_p
207,3OAR120,3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:0),3oddecACP_c + h_c + nadph_c <==> 3hddecACP_c + nadp_c
208,3OAR121,3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:1),3ocddec5eACP_c + h_c + nadph_c <==> 3hcddec5eACP_c + nadp_c
209,3OAR141,3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:1),3ocmrs7eACP_c + h_c + nadph_c <==> 3hcmrs7eACP_c + nadp_c
210,3OAR160,3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:0),3opalmACP_c + h_c + nadph_c <==> 3hpalmACP_c + nadp_c
211,3OAR161,3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:1),3ocpalm9eACP_c + h_c + nadph_c <==> 3hcpalm9eACP_c + nadp_c
212,3OAR180,3-oxoacyl-[acyl-carrier-protein] reductase (n-C18:0),3ooctdACP_c + h_c + nadph_c <==> 3hoctaACP_c + nadp_c
213,3OAS100,3-oxoacyl-[acyl-carrier-protein] synthase (n-C10:0),h_c + malACP_c + ocACP_c <==> 3odecACP_c + ACP_c + co2_c
214,3OAS120,3-oxoacyl-[acyl-carrier-protein] synthase (n-C12:0),dcaACP_c + h_c + malACP_c <==> 3oddecACP_c + ACP_c + co2_c
215,3OAS140,3-oxoacyl-[acyl-carrier-protein] synthase (n-C14:0),ddcaACP_c + h_c + malACP_c <==> 3omrsACP_c + ACP_c + co2_c
216,3OAS161,3-oxoacyl-[acyl-carrier-protein] synthase (n-C16:1),h_c + malACP_c + tdeACP_c <==> 3ocpalm9eACP_c + ACP_c + co2_c
217,3OAS60,3-oxoacyl-[acyl-carrier-protein] synthase (n-C6:0),butACP_c + h_c + malACP_c <==> 3ohexACP_c + ACP_c + co2_c
218,3PEPTabcpp,Tripeptide (LalaDgluMdap) transport via ABC system (periplasm),atp_c + h2o_c + LalaDgluMdap_p <==> LalaDgluMdap_c + adp_c + h_c + pi_c
219,3UMPtex,3UMP transport via diffusion (extracellular to periplasm),3ump_e <==> 3ump_p
220,4HTHRS,4-Hydroxy-L-threonine synthase,h2o_c + phthr_c <==> 4hthr_c + pi_c
221,5DGLCNt2rpp,"5-Dehydro-D-gluconate transport via proton symport, reversible (periplasm)",5dglcn_p + h_p <==> 5dglcn_c + h_c
222,5DOAN,5'-deoxyadenosine nuclosidase,dad_5_c + h2o_c <==> 5drib_c + ade_c
223,5MTRtex,5-Methylthio-D-ribose transport via proton diffusion (extracellular to periplasm),5mtr_e <==> 5mtr_p
224,5MTRtpp,5-Methylthio-D-ribose transport via proton symport (periplasm),5mtr_c + h_c <==> 5mtr_p + h_p
225,A5PISO,Arabinose-5-phosphate isomerase,ru5p__D_c <==> ara5p_c
226,AACPS5,Acyl-[acyl-carrier-protein] synthetase  (n-C18:1),ACP_c + atp_c + ocdcea_c <==> amp_c + octeACP_c + ppi_c
227,AACPS6,Acyl-[acyl-carrier-protein] synthetase  (n-C18:0),ACP_c + atp_c + ocdca_c <==> amp_c + ocdcaACP_c + ppi_c
228,AACPS9,Acyl-[acyl-carrier-protein] synthetase  (n-C8:0),ACP_c + atp_c + octa_c <==> amp_c + ocACP_c + ppi_c
229,AAMYLpp,Alpha-amylase (periplasm),14glucan_p <==> malthx_p
230,ABTA,4-aminobutyrate transaminase,4abut_c + akg_c <==> glu__L_c + sucsal_c
231,ABUTt2pp,4-aminobutyrate transport in via proton symport (periplasm),4abut_p + h_p <==> 4abut_c + h_c
232,ACACT2r,Acetyl-CoA C-acyltransferase (butanoyl-CoA) (r),accoa_c + btcoa_c <==> 3ohcoa_c + coa_c
233,ACACT3r,Acetyl-CoA C-acyltransferase (hexanoyl-CoA) (r),accoa_c + hxcoa_c <==> 3oocoa_c + coa_c
234,ACACT4r,Acetyl-CoA C-acyltransferase (octanoyl-CoA) (r),accoa_c + occoa_c <==> 3odcoa_c + coa_c
235,ACACT5r,Acetyl-CoA C-acyltransferase (decanoyl-CoA) (r),accoa_c + dcacoa_c <==> 3oddcoa_c + coa_c
236,ACACtex,Acetoacetate transport via diffusion (extracellular to periplasm),acac_e <==> acac_p
237,ACALDtex,Acetaldehyde transport via diffusion (extracellular to periplasm),acald_e <==> acald_p
238,ACALDtpp,Acetaldehyde reversible transport (periplasm),acald_p <==> acald_c
239,ACBIPGT,Adenosyl cobinamide phosphate guanyltransferase,adocbip_c + gtp_c + h_c <==> agdpcbi_c + ppi_c
240,ACCOAL,Acetate-CoA ligase (ADP-forming),atp_c + coa_c + ppa_c <==> adp_c + pi_c + ppcoa_c
241,ACGAM1PPpp,N-acetyl-D-glucosamine 1-phosphatase (periplasm),acgam1p_p + h2o_p <==> acgam_p + pi_p
242,ACGAptspp,N-Acetyl-D-glucosamine transport via PEP:Pyr PTS  (periplasm),pep_c + acgam_p <==> acgam6p_c + pyr_c
243,ACGAtex,N-Acetyl-D-glucosamine transport via diffusion (extracellular to periplasm),acgam_e <==> acgam_p
244,ACGS,N-acetylglutamate synthase,accoa_c + glu__L_c <==> acglu_c + coa_c + h_c
245,ACLS,Acetolactate synthase,h_c + 2.0 pyr_c <==> alac__S_c + co2_c
246,ACMAMUT,UDP-N-acetyl-D-mannosaminuronic acid transferase,uacmamu_c + unaga_c <==> h_c + udp_c + unagamu_c
247,ACMANAtex,N-acetyl-D-mannosamine transport via diffusion (extracellular to periplasm),acmana_e <==> acmana_p
248,ACMUMtex,N-acetylmuramate transport via diffusion (extracellular to periplasm),acmum_e <==> acmum_p
249,ACNAMt2pp,N-acetylneuraminate proton symport (periplasm),acnam_p + h_p <==> acnam_c + h_c
250,ACNML,N-Acetylneuraminate lyase,acnam_c <==> acmana_c + pyr_c
251,ACOAD1f,Acyl-CoA dehydrogenase (butanoyl-CoA),btcoa_c + fad_c <==> b2coa_c + fadh2_c
252,ACOAD5f,Acyl-CoA dehydrogenase (dodecanoyl-CoA),ddcacoa_c + fad_c <==> dd2coa_c + fadh2_c
253,ACOAD7f,Acyl-CoA dehydrogenase (hexadecanoyl-CoA),fad_c + pmtcoa_c <==> fadh2_c + hdd2coa_c
254,ACOAD8f,Acyl-CoA dehydrogenase (octadecanoyl-CoA),fad_c + stcoa_c <==> fadh2_c + od2coa_c
255,ACOATA,Acetyl-CoA ACP transacylase,ACP_c + accoa_c <==> acACP_c + coa_c
256,ACODA,Acetylornithine deacetylase,acorn_c + h2o_c <==> ac_c + orn_c
257,ACOLIPAabctex,Arabinose modified core oligosaccharide lipid A transport via ABC system (periplasm to extracellular),atp_c + h2o_c + acolipa_p <==> adp_c + h_c + pi_c + acolipa_e
258,ACONIs,Aconitate isomerase (spontaneous),acon_T_c <==> acon_C_c
259,ACONMT,Trans-aconitate methyltransferase,acon_T_c + amet_c <==> aconm_c + ahcys_c
260,ACOTA,Acetylornithine transaminase,acorn_c + akg_c <==> acg5sa_c + glu__L_c
261,ACPPAT141,Acyl-(acyl carrier protein):phosphate acyltransferase (C14:1),h_c + pi_c + tdeACP_c <==> ACP_c + ttdceap_c
262,ACPPAT161,Acyl-(acyl carrier protein):phosphate acyltransferase (C16:1),h_c + hdeACP_c + pi_c <==> ACP_c + hdceap_c
263,ACPPAT180,Acyl-(acyl carrier protein):phosphate acyltransferase (C18:0),h_c + ocdcaACP_c + pi_c <==> ACP_c + ocdcap_c
264,ACSERtpp,O-Acetyl-L-serine export via facilitated transport,acser_c <==> acser_p
265,ACt2rpp,Acetate reversible transport via proton symport (periplasm),ac_p + h_p <==> ac_c + h_c
266,ACtex,Acetate transport via diffusion (extracellular to periplasm),ac_e <==> ac_p
267,ADCL,4-aminobenzoate synthase,4adcho_c <==> 4abz_c + h_c + pyr_c
268,ADCS,4-amino-4-deoxychorismate synthase,chor_c + gln__L_c <==> 4adcho_c + glu__L_c
269,ADD,Adenine deaminase,ade_c + h_c + h2o_c <==> hxan_c + nh4_c
270,ADEt2rpp,Adenine transport via proton symport (reversible) (periplasm),ade_p + h_p <==> ade_c + h_c
271,ADEtex,Adenine transport via diffusion (extracellular to periplasm),ade_e <==> ade_p
272,ADK3,Adentylate kinase (GTP),amp_c + gtp_c <==> adp_c + gdp_c
273,ADNCYC,Adenylate cyclase,atp_c <==> camp_c + ppi_c
274,ADNK1,Adenosine kinase,adn_c + atp_c <==> adp_c + amp_c + h_c
275,ADNUC,Adenosine hydrolase,adn_c + h2o_c <==> ade_c + rib__D_c
276,ADNt2pp,Adenosine transport in via proton symport (periplasm),adn_p + h_p <==> adn_c + h_c
277,ADOCBLS,Adenosylcobalamin 5'-phosphate synthase,agdpcbi_c + rdmbzi_c <==> adocbl_c + gmp_c + h_c
